,continente,países,média populacional (2023),porcentagem populacional global,média de área (km²),média de densidade (km²)
0,Africa,"['Nigeria', 'Ethiopia', 'Egypt', 'DR Congo', 'Tanzania', 'South Africa', 'Kenya', 'Uganda', 'Sudan', 'Algeria', 'Morocco', 'Angola', 'Ghana', 'Mozambique', 'Madagascar', 'Ivory Coast', 'Cameroon', 'Niger', 'Mali', 'Burkina Faso', 'Malawi', 'Zambia', 'Chad', 'Somalia', 'Senegal', 'Zimbabwe', 'Guinea', 'Rwanda', 'Benin', 'Burundi', 'Tunisia', 'South Sudan', 'Togo', 'Sierra Leone', 'Libya', 'Republic of the Congo', 'Central African Republic', 'Liberia', 'Mauritania', 'Eritrea', 'Gambia', 'Botswana', 'Namibia', 'Gabon', 'Lesotho', 'Guinea-Bissau', 'Equatorial Guinea', 'Mauritius', 'Eswatini', 'Djibouti', 'Reunion', 'Comoros', 'Cape Verde', 'Western Sahara', 'Mayotte', 'Sao Tome and Principe', 'Seychelles']",25622394.0,18.27%,531894.09,70.0
1,Asia,"['India', 'China', 'Indonesia', 'Pakistan', 'Bangladesh', 'Japan', 'Philippines', 'Vietnam', 'Iran', 'Turkey', 'Thailand', 'Myanmar', 'South Korea', 'Iraq', 'Afghanistan', 'Saudi Arabia', 'Uzbekistan', 'Yemen', 'Malaysia', 'Nepal', 'North Korea', 'Taiwan', 'Syria', 'Sri Lanka', 'Kazakhstan', 'Cambodia', 'Jordan', 'Azerbaijan', 'Tajikistan', 'United Arab Emirates', 'Israel', 'Laos', 'Hong Kong', 'Kyrgyzstan', 'Turkmenistan', 'Singapore', 'Palestine', 'Lebanon', 'Oman', 'Kuwait', 'Georgia', 'Mongolia', 'Armenia', 'Qatar', 'Bahrain', 'Timor-Leste', 'Bhutan', 'Macau', 'Maldives', 'Brunei']",95036392.0,59.37%,642762.88,131.0
2,Europe,"['Russia', 'Germany', 'United Kingdom', 'France', 'Italy', 'Spain', 'Poland', 'Ukraine', 'Romania', 'Netherlands', 'Belgium', 'Sweden', 'Czech Republic', 'Greece', 'Portugal', 'Hungary', 'Belarus', 'Austria', 'Switzerland', 'Serbia', 'Bulgaria', 'Denmark', 'Slovakia', 'Finland', 'Norway', 'Ireland', 'Croatia', 'Moldova', 'Bosnia and Herzegovina', 'Albania', 'Lithuania', 'Slovenia', 'North Macedonia', 'Latvia', 'Estonia', 'Cyprus', 'Luxembourg', 'Montenegro', 'Malta', 'Iceland', 'Jersey', 'Isle of Man', 'Andorra', 'Guernsey', 'Faroe Islands', 'Liechtenstein', 'Monaco', 'San Marino', 'Gibraltar', 'Vatican City']",14837384.0,9.27%,460208.23,110.0
3,North America,"['United States', 'Mexico', 'Canada', 'Guatemala', 'Haiti', 'Dominican Republic', 'Cuba', 'Honduras', 'Nicaragua', 'El Salvador', 'Costa Rica', 'Panama', 'Puerto Rico', 'Jamaica', 'Trinidad and Tobago', 'Bahamas', 'Belize', 'Guadeloupe', 'Martinique', 'Barbados', 'Curacao', 'Saint Lucia', 'Grenada', 'Aruba', 'Saint Vincent and the Grenadines', 'United States Virgin Islands', 'Antigua and Barbuda', 'Dominica', 'Cayman Islands', 'Bermuda', 'Greenland', 'Saint Kitts and Nevis', 'Turks and Caicos Islands', 'Sint Maarten', 'Saint Martin', 'British Virgin Islands', 'Anguilla', 'Saint Barthelemy', 'Saint Pierre and Miquelon', 'Montserrat']",15103884.0,7.54%,606104.45,224.5
4,Oceania,"['Australia', 'Papua New Guinea', 'New Zealand', 'Fiji', 'Solomon Islands', 'Vanuatu', 'French Polynesia', 'New Caledonia', 'Samoa', 'Guam', 'Kiribati', 'Micronesia', 'Tonga', 'Northern Mariana Islands', 'American Samoa', 'Marshall Islands', 'Palau', 'Cook Islands', 'Nauru', 'Wallis and Futuna', 'Tuvalu', 'Niue', 'Tokelau']",1981555.0,0.55%,370226.87,81.0
5,South America,"['Brazil', 'Colombia', 'Argentina', 'Peru', 'Venezuela', 'Chile', 'Ecuador', 'Bolivia', 'Paraguay', 'Uruguay', 'Guyana', 'Suriname', 'French Guiana', 'Falkland Islands']",31408501.0,5.49%,1273813.0,18.5
